x	y
0.5	0.4317
0.501	0.4317
0.502	0.4317
0.503	0.4317
0.504	0.4317
0.505	0.4316
0.506	0.4313
0.507	0.4311
0.508	0.4307
0.509	0.4307
0.51	0.4307
0.511	0.4304
0.512	0.43
0.513	0.4296
0.514	0.4295
0.515	0.4293
0.516	0.4291
0.517	0.4286
0.518	0.4282
0.519	0.428
0.52	0.428
0.521	0.4276
0.522	0.4274
0.523	0.427
0.524	0.4267
0.525	0.4263
0.526	0.4262
0.527	0.4259
0.528	0.4255
0.529	0.4253
0.53	0.4251
0.531	0.425
0.532	0.4249
0.533	0.4246
0.534	0.4243
0.535	0.4237
0.536	0.4234
0.537	0.4231
0.538	0.4228
0.539	0.4223
0.54	0.4222
0.541	0.422
0.542	0.4211
0.543	0.4209
0.544	0.4203
0.545	0.4202
0.546	0.42
0.547	0.4194
0.548	0.4192
0.549	0.419
0.55	0.4186
0.551	0.4182
0.552	0.4178
0.553	0.4177
0.554	0.4174
0.555	0.4169
0.556	0.4166
0.557	0.4164
0.558	0.4163
0.559	0.4158
0.56	0.4154
0.5609999999999999	0.4153
0.562	0.4152
0.563	0.415
0.5640000000000001	0.4147
0.565	0.4142
0.5660000000000001	0.4141
0.567	0.4137
0.5680000000000001	0.4136
0.569	0.413
0.5700000000000001	0.4128
0.571	0.4125
0.5720000000000001	0.4121
0.573	0.412
0.574	0.4117
0.575	0.4114
0.576	0.4109
0.577	0.4109
0.578	0.4105
0.579	0.4103
0.58	0.4099
0.581	0.4095
0.582	0.409
0.583	0.4088
0.584	0.4084
0.585	0.4081
0.586	0.4081
0.587	0.4077
0.588	0.4073
0.589	0.4069
0.59	0.4064
0.591	0.4064
0.592	0.4059
0.593	0.4055
0.594	0.4048
0.595	0.4046
0.596	0.4045
0.597	0.404
0.598	0.4037
0.599	0.4034
0.6	0.4031
0.601	0.4026
0.602	0.4024
0.603	0.4021
0.604	0.4019
0.605	0.4015
0.606	0.4008
0.607	0.4005
0.608	0.4002
0.609	0.4
0.61	0.3997
0.611	0.3993
0.612	0.3989
0.613	0.3987
0.614	0.3981
0.615	0.3978
0.616	0.3973
0.617	0.3969
0.618	0.3967
0.619	0.3963
0.62	0.3962
0.621	0.396
0.622	0.3957
0.623	0.3957
0.624	0.3955
0.625	0.395
0.626	0.3947
0.627	0.3942
0.628	0.3939
0.629	0.3935
0.63	0.3931
0.631	0.3928
0.632	0.3926
0.633	0.3921
0.634	0.3917
0.635	0.3914
0.636	0.391
0.637	0.3907
0.638	0.3904
0.639	0.3902
0.64	0.3898
0.641	0.3896
0.642	0.3894
0.643	0.3892
0.644	0.3887
0.645	0.3884
0.646	0.388
0.647	0.3877
0.648	0.3872
0.649	0.3863
0.65	0.3861
0.651	0.3861
0.652	0.3858
0.653	0.3857
0.654	0.3853
0.655	0.3848
0.656	0.3848
0.657	0.3843
0.658	0.3838
0.659	0.3832
0.66	0.3829
0.661	0.3827
0.662	0.3824
0.663	0.3823
0.664	0.3822
0.665	0.3819
0.666	0.3815
0.667	0.3812
0.668	0.3807
0.669	0.3802
0.67	0.38
0.671	0.38
0.672	0.3798
0.673	0.3796
0.674	0.3792
0.675	0.3787
0.6759999999999999	0.3782
0.677	0.378
0.6779999999999999	0.3776
0.679	0.3774
0.6799999999999999	0.3773
0.681	0.3769
0.6819999999999999	0.3763
0.683	0.3759
0.6839999999999999	0.3757
0.685	0.3753
0.6859999999999999	0.3752
0.687	0.375
0.688	0.3749
0.6890000000000001	0.3744
0.69	0.3742
0.6910000000000001	0.3741
0.692	0.3739
0.6930000000000001	0.3737
0.694	0.3733
0.6950000000000001	0.3726
0.696	0.3723
0.6970000000000001	0.3719
0.698	0.3716
0.6990000000000001	0.3713
0.7	0.3711
0.7010000000000001	0.3709
0.702	0.3705
0.7030000000000001	0.3699
0.704	0.3698
0.7050000000000001	0.3697
0.706	0.3694
0.7070000000000001	0.3693
0.708	0.3693
0.709	0.3689
0.71	0.3682
0.711	0.368
0.712	0.3675
0.713	0.3672
0.714	0.3667
0.715	0.3664
0.716	0.3661
0.717	0.3654
0.718	0.3651
0.719	0.3649
0.72	0.3645
0.721	0.3641
0.722	0.3639
0.723	0.3637
0.724	0.3634
0.725	0.363
0.726	0.3625
0.727	0.3622
0.728	0.362
0.729	0.3616
0.73	0.3609
0.731	0.3607
0.732	0.3603
0.733	0.3601
0.734	0.36
0.735	0.3599
0.736	0.359
0.737	0.3589
0.738	0.3587
0.739	0.3583
0.74	0.3579
0.741	0.3578
0.742	0.3575
0.743	0.3571
0.744	0.3566
0.745	0.3565
0.746	0.3559
0.747	0.3556
0.748	0.3551
0.749	0.3548
0.75	0.3545
0.751	0.3544
0.752	0.354
0.753	0.3538
0.754	0.3533
0.755	0.353
0.756	0.3523
0.757	0.3521
0.758	0.3519
0.759	0.3512
0.76	0.3509
0.761	0.3507
0.762	0.35
0.763	0.3495
0.764	0.3489
0.765	0.3483
0.766	0.3479
0.767	0.3476
0.768	0.3473
0.769	0.3468
0.77	0.3459
0.771	0.3457
0.772	0.3453
0.773	0.3451
0.774	0.3444
0.775	0.3441
0.776	0.3433
0.777	0.3433
0.778	0.3427
0.779	0.3423
0.78	0.3421
0.781	0.3417
0.782	0.3414
0.783	0.3411
0.784	0.3407
0.785	0.3405
0.786	0.3399
0.787	0.3393
0.788	0.3388
0.7889999999999999	0.338
0.79	0.3379
0.7909999999999999	0.3376
0.792	0.3369
0.7929999999999999	0.3363
0.794	0.3361
0.7949999999999999	0.3359
0.796	0.3354
0.7969999999999999	0.335
0.798	0.3342
0.7989999999999999	0.3335
0.8	0.3334
0.8009999999999999	0.3328
0.802	0.3324
0.8029999999999999	0.3316
0.804	0.3314
0.8049999999999999	0.3306
0.806	0.3304
0.8069999999999999	0.3302
0.808	0.3299
0.8089999999999999	0.3294
0.81	0.3292
0.8109999999999999	0.3289
0.812	0.3285
0.813	0.328
0.8140000000000001	0.3277
0.815	0.3273
0.8160000000000001	0.3269
0.817	0.3264
0.8180000000000001	0.3263
0.819	0.3251
0.8200000000000001	0.3246
0.821	0.3241
0.8220000000000001	0.3236
0.823	0.3231
0.8240000000000001	0.3227
0.825	0.3221
0.8260000000000001	0.3215
0.827	0.3212
0.8280000000000001	0.3209
0.829	0.3205
0.8300000000000001	0.32
0.831	0.3192
0.8320000000000001	0.3185
0.833	0.318
0.8340000000000001	0.3175
0.835	0.3167
0.8360000000000001	0.3161
0.837	0.3155
0.8380000000000001	0.3149
0.839	0.3143
0.8400000000000001	0.3136
0.841	0.3125
0.8420000000000001	0.3121
0.843	0.3113
0.8440000000000001	0.3107
0.845	0.3088
0.8460000000000001	0.3088
0.847	0.3088
0.8480000000000001	0.3075
0.849	0.3075
0.8500000000000001	0.3064
0.851	0.3064
0.852	0.3064
0.853	0.3054
0.854	0.3054
0.855	0.3042
0.856	0.3042
0.857	0.3032
0.858	0.3032
0.859	0.3018
0.86	0.3018
0.861	0.3018
0.862	0.301
0.863	0.301
0.864	0.2997
0.865	0.2997
0.866	0.2986
0.867	0.2986
0.868	0.297
0.869	0.297
0.87	0.2956
0.871	0.2956
0.872	0.2945
0.873	0.2945
0.874	0.2945
0.875	0.293
0.876	0.293
0.877	0.2912
0.878	0.2912
0.879	0.29
0.88	0.29
0.881	0.2893
0.882	0.2893
0.883	0.2884
0.884	0.2884
0.885	0.2873
0.886	0.2873
0.887	0.2862
0.888	0.2862
