x	y
0.5	0.6413
0.501	0.6413
0.502	0.6413
0.503	0.6413
0.504	0.6413
0.505	0.6413
0.506	0.6411
0.507	0.6411
0.508	0.6409
0.509	0.6407
0.51	0.6404
0.511	0.6403
0.512	0.6401
0.513	0.6399
0.514	0.6396
0.515	0.6389
0.516	0.6387
0.517	0.6383
0.518	0.638
0.519	0.6377
0.52	0.6373
0.521	0.6369
0.522	0.6367
0.523	0.6365
0.524	0.6365
0.525	0.6364
0.526	0.6361
0.527	0.6357
0.528	0.6353
0.529	0.635
0.53	0.6346
0.531	0.6343
0.532	0.6341
0.533	0.6339
0.534	0.6338
0.535	0.6335
0.536	0.6332
0.537	0.633
0.538	0.6328
0.539	0.6325
0.54	0.6324
0.541	0.6321
0.542	0.6315
0.543	0.6315
0.544	0.6312
0.545	0.6311
0.546	0.6305
0.547	0.6304
0.548	0.6301
0.549	0.63
0.55	0.6299
0.551	0.6296
0.552	0.6292
0.553	0.6289
0.554	0.6285
0.555	0.6282
0.556	0.6282
0.557	0.6276
0.558	0.6271
0.559	0.6266
0.56	0.6263
0.5609999999999999	0.626
0.562	0.6256
0.563	0.6253
0.5640000000000001	0.625
0.565	0.6248
0.5660000000000001	0.6243
0.567	0.6239
0.5680000000000001	0.6238
0.569	0.6232
0.5700000000000001	0.6224
0.571	0.622
0.5720000000000001	0.6212
0.573	0.6209
0.574	0.6208
0.575	0.6201
0.576	0.6197
0.577	0.6195
0.578	0.6194
0.579	0.6189
0.58	0.6185
0.581	0.6182
0.582	0.6179
0.583	0.6172
0.584	0.6166
0.585	0.6162
0.586	0.616
0.587	0.6159
0.588	0.6156
0.589	0.6156
0.59	0.6154
0.591	0.6148
0.592	0.614
0.593	0.614
0.594	0.6138
0.595	0.6132
0.596	0.613
0.597	0.6126
0.598	0.6124
0.599	0.6115
0.6	0.6111
0.601	0.6108
0.602	0.6102
0.603	0.6099
0.604	0.6098
0.605	0.6091
0.606	0.6083
0.607	0.6079
0.608	0.6074
0.609	0.6069
0.61	0.6065
0.611	0.6065
0.612	0.6058
0.613	0.6056
0.614	0.6054
0.615	0.6054
0.616	0.6047
0.617	0.6044
0.618	0.6042
0.619	0.6038
0.62	0.6035
0.621	0.6032
0.622	0.6027
0.623	0.6022
0.624	0.6021
0.625	0.6016
0.626	0.6013
0.627	0.6011
0.628	0.6009
0.629	0.6006
0.63	0.6004
0.631	0.6001
0.632	0.5995
0.633	0.5992
0.634	0.5992
0.635	0.5984
0.636	0.5978
0.637	0.5975
0.638	0.597
0.639	0.5968
0.64	0.5965
0.641	0.5959
0.642	0.5954
0.643	0.595
0.644	0.5945
0.645	0.5942
0.646	0.594
0.647	0.5931
0.648	0.5928
0.649	0.5924
0.65	0.5924
0.651	0.5919
0.652	0.5915
0.653	0.5909
0.654	0.5904
0.655	0.59
0.656	0.5892
0.657	0.5891
0.658	0.5883
0.659	0.5881
0.66	0.5877
0.661	0.5876
0.662	0.5876
0.663	0.5876
0.664	0.5872
0.665	0.5872
0.666	0.5865
0.667	0.5863
0.668	0.5859
0.669	0.5857
0.67	0.5855
0.671	0.585
0.672	0.5845
0.673	0.5843
0.674	0.5839
0.675	0.5839
0.6759999999999999	0.5836
0.677	0.5829
0.6779999999999999	0.5829
0.679	0.5823
0.6799999999999999	0.5819
0.681	0.5818
0.6819999999999999	0.5812
0.683	0.5812
0.6839999999999999	0.5806
0.685	0.5802
0.6859999999999999	0.5798
0.687	0.5793
0.688	0.579
0.6890000000000001	0.5785
0.69	0.5783
0.6910000000000001	0.5779
0.692	0.5774
0.6930000000000001	0.5772
0.694	0.5769
0.6950000000000001	0.5765
0.696	0.5763
0.6970000000000001	0.576
0.698	0.5757
0.6990000000000001	0.5753
0.7	0.5753
0.7010000000000001	0.5746
0.702	0.5743
0.7030000000000001	0.5736
0.704	0.5735
0.7050000000000001	0.5731
0.706	0.5723
0.7070000000000001	0.572
0.708	0.5713
0.709	0.5708
0.71	0.5703
0.711	0.5702
0.712	0.5696
0.713	0.5695
0.714	0.5688
0.715	0.5686
0.716	0.568
0.717	0.5674
0.718	0.5668
0.719	0.5662
0.72	0.566
0.721	0.5654
0.722	0.5652
0.723	0.5643
0.724	0.5641
0.725	0.5634
0.726	0.5631
0.727	0.5625
0.728	0.5624
0.729	0.5615
0.73	0.5609
0.731	0.5608
0.732	0.5604
0.733	0.56
0.734	0.5598
0.735	0.5592
0.736	0.5589
0.737	0.5587
0.738	0.5586
0.739	0.5581
0.74	0.5579
0.741	0.5577
0.742	0.5572
0.743	0.5572
0.744	0.5565
0.745	0.5557
0.746	0.555
0.747	0.5549
0.748	0.5545
0.749	0.554
0.75	0.5538
0.751	0.5535
0.752	0.5533
