x	y
0.5	0.6875
0.501	0.6875
0.502	0.6875
0.503	0.6875
0.504	0.6875
0.505	0.6874
0.506	0.6869
0.507	0.6866
0.508	0.6863
0.509	0.6856
0.51	0.6854
0.511	0.6853
0.512	0.6846
0.513	0.684
0.514	0.6835
0.515	0.683
0.516	0.6822
0.517	0.6816
0.518	0.681
0.519	0.6808
0.52	0.6799
0.521	0.6797
0.522	0.679
0.523	0.6784
0.524	0.678
0.525	0.6774
0.526	0.6771
0.527	0.6764
0.528	0.6754
0.529	0.6751
0.53	0.6746
0.531	0.6744
0.532	0.6742
0.533	0.6734
0.534	0.6728
0.535	0.6722
0.536	0.6717
0.537	0.6709
0.538	0.6704
0.539	0.6699
0.54	0.6694
0.541	0.669
0.542	0.6684
0.543	0.668
0.544	0.6672
0.545	0.6666
0.546	0.6659
0.547	0.6653
0.548	0.665
0.549	0.6645
0.55	0.6636
0.551	0.6633
0.552	0.6625
0.553	0.662
0.554	0.6615
0.555	0.6608
0.556	0.6605
0.557	0.6599
0.558	0.6593
0.559	0.6588
0.56	0.6586
0.5609999999999999	0.6582
0.562	0.6579
0.563	0.657
0.5640000000000001	0.6568
0.565	0.6562
0.5660000000000001	0.6555
0.567	0.6553
0.5680000000000001	0.6546
0.569	0.6543
0.5700000000000001	0.6539
0.571	0.6532
0.5720000000000001	0.6525
0.573	0.6521
0.574	0.6516
0.575	0.6512
0.576	0.6505
0.577	0.6498
0.578	0.6496
0.579	0.6489
0.58	0.6484
0.581	0.6475
0.582	0.6467
0.583	0.6462
0.584	0.646
0.585	0.6454
0.586	0.6449
0.587	0.6445
0.588	0.6438
0.589	0.6435
0.59	0.6432
0.591	0.6427
0.592	0.6413
0.593	0.641
0.594	0.6402
0.595	0.6389
0.596	0.6383
0.597	0.6376
0.598	0.6372
0.599	0.6369
0.6	0.6368
0.601	0.6365
0.602	0.6351
0.603	0.6343
0.604	0.634
0.605	0.6333
0.606	0.6325
0.607	0.6324
0.608	0.6322
0.609	0.6309
0.61	0.6306
0.611	0.63
0.612	0.6291
0.613	0.6288
0.614	0.6283
0.615	0.6278
0.616	0.6266
0.617	0.6264
0.618	0.626
0.619	0.6254
0.62	0.6247
0.621	0.6245
0.622	0.6239
0.623	0.6236
0.624	0.6231
0.625	0.6226
0.626	0.6217
0.627	0.6214
0.628	0.6205
0.629	0.6202
0.63	0.6199
0.631	0.6195
0.632	0.6186
0.633	0.6177
0.634	0.617
0.635	0.6166
0.636	0.6162
0.637	0.6159
0.638	0.6152
0.639	0.6146
0.64	0.6142
0.641	0.6137
0.642	0.6135
0.643	0.6131
0.644	0.6123
0.645	0.6119
0.646	0.6118
0.647	0.6108
0.648	0.6101
0.649	0.6092
0.65	0.6089
0.651	0.6087
0.652	0.6073
0.653	0.6067
0.654	0.606
0.655	0.6055
0.656	0.6048
0.657	0.6045
0.658	0.6032
0.659	0.6029
0.66	0.6027
0.661	0.6016
0.662	0.6009
0.663	0.6004
0.664	0.5996
0.665	0.5988
0.666	0.5981
0.667	0.5977
0.668	0.5972
0.669	0.5963
0.67	0.5959
0.671	0.5956
0.672	0.595
0.673	0.5943
0.674	0.5932
0.675	0.5928
0.6759999999999999	0.5923
0.677	0.5917
0.6779999999999999	0.5913
0.679	0.5899
0.6799999999999999	0.5896
0.681	0.5892
0.6819999999999999	0.5884
0.683	0.5883
0.6839999999999999	0.5879
0.685	0.5875
0.6859999999999999	0.5869
0.687	0.5862
0.688	0.5856
0.6890000000000001	0.5846
0.69	0.5843
0.6910000000000001	0.5841
0.692	0.5835
0.6930000000000001	0.5831
0.694	0.5824
0.6950000000000001	0.5824
0.696	0.5814
0.6970000000000001	0.5809
0.698	0.5803
0.6990000000000001	0.5792
0.7	0.5789
0.7010000000000001	0.5778
0.702	0.5773
0.7030000000000001	0.5762
0.704	0.5757
0.7050000000000001	0.5752
0.706	0.5739
0.7070000000000001	0.5732
0.708	0.5723
0.709	0.572
0.71	0.571
0.711	0.5707
0.712	0.5692
0.713	0.5689
0.714	0.5682
0.715	0.5678
0.716	0.567
0.717	0.5663
0.718	0.5661
0.719	0.5652
0.72	0.5652
0.721	0.5641
0.722	0.5637
0.723	0.5627
0.724	0.5619
0.725	0.5608
0.726	0.5606
0.727	0.5596
0.728	0.5588
0.729	0.5581
0.73	0.5575
0.731	0.5568
0.732	0.5564
0.733	0.5553
0.734	0.5548
0.735	0.5539
0.736	0.5534
0.737	0.5526
0.738	0.552
0.739	0.551
0.74	0.5502
0.741	0.5499
0.742	0.5488
0.743	0.5484
0.744	0.5474
0.745	0.5466
0.746	0.5463
0.747	0.5459
0.748	0.5445
0.749	0.5438
0.75	0.5433
0.751	0.5422
0.752	0.5416
0.753	0.5407
0.754	0.5401
0.755	0.5391
0.756	0.5385
0.757	0.5377
0.758	0.5363
0.759	0.5356
0.76	0.5347
0.761	0.5336
0.762	0.5331
0.763	0.5324
0.764	0.5319
0.765	0.5316
0.766	0.5304
0.767	0.5303
0.768	0.5292
0.769	0.5288
0.77	0.5277
0.771	0.5266
0.772	0.5262
0.773	0.5249
0.774	0.524
0.775	0.5233
0.776	0.5225
0.777	0.5216
0.778	0.5213
0.779	0.5204
0.78	0.5195
0.781	0.519
0.782	0.5179
0.783	0.5166
0.784	0.5155
0.785	0.5154
0.786	0.5143
0.787	0.5131
0.788	0.5128
0.7889999999999999	0.5122
0.79	0.5115
0.7909999999999999	0.5107
0.792	0.5099
0.7929999999999999	0.5093
0.794	0.5084
0.7949999999999999	0.5079
0.796	0.5069
0.7969999999999999	0.5053
0.798	0.5043
0.7989999999999999	0.5029
0.8	0.5025
0.8009999999999999	0.5022
0.802	0.5017
0.8029999999999999	0.5007
0.804	0.5003
0.8049999999999999	0.4998
0.806	0.4987
0.8069999999999999	0.4978
0.808	0.4969
0.8089999999999999	0.4962
0.81	0.4955
0.8109999999999999	0.4949
0.812	0.494
0.813	0.493
0.8140000000000001	0.4923
0.815	0.4907
0.8160000000000001	0.4904
0.817	0.4898
0.8180000000000001	0.4887
0.819	0.4874
0.8200000000000001	0.4864
0.821	0.4849
0.8220000000000001	0.4838
0.823	0.4828
0.8240000000000001	0.4817
0.825	0.4809
0.8260000000000001	0.4799
0.827	0.4788
0.8280000000000001	0.4777
0.829	0.4767
0.8300000000000001	0.4762
0.831	0.475
0.8320000000000001	0.4744
0.833	0.4732
0.8340000000000001	0.4722
0.835	0.4712
0.8360000000000001	0.4707
0.837	0.4697
0.8380000000000001	0.4694
0.839	0.4678
0.8400000000000001	0.4672
0.841	0.4664
0.8420000000000001	0.4653
0.843	0.4639
0.8440000000000001	0.4625
0.845	0.4612
0.8460000000000001	0.4595
0.847	0.4586
0.8480000000000001	0.4575
0.849	0.4568
0.8500000000000001	0.4555
0.851	0.4543
0.852	0.4541
0.853	0.4526
0.854	0.4515
0.855	0.4504
0.856	0.4498
0.857	0.4492
0.858	0.4482
0.859	0.447
0.86	0.4462
0.861	0.4454
0.862	0.4439
0.863	0.4428
0.864	0.4418
0.865	0.4405
0.866	0.4392
0.867	0.4381
0.868	0.4368
0.869	0.4348
0.87	0.4342
0.871	0.433
0.872	0.4312
0.873	0.4294
0.874	0.4281
0.875	0.4269
0.876	0.4264
0.877	0.4253
0.878	0.4236
0.879	0.4225
0.88	0.4218
0.881	0.4205
0.882	0.4198
0.883	0.4185
0.884	0.4177
0.885	0.4164
0.886	0.4151
0.887	0.4136
0.888	0.4128
0.889	0.4108
0.89	0.4094
0.891	0.4088
0.892	0.4069
0.893	0.4052
0.894	0.4049
0.895	0.4034
0.896	0.4024
0.897	0.4014
0.898	0.401
0.899	0.399
0.9	0.3972
0.901	0.396
0.902	0.3952
0.903	0.394
0.904	0.393
0.905	0.3919
0.906	0.3906
0.907	0.3882
0.908	0.3869
0.909	0.3849
0.91	0.3832
0.911	0.3818
0.912	0.3802
0.913	0.3787
0.914	0.3775
0.915	0.3761
0.916	0.3749
0.917	0.3738
0.9179999999999999	0.3728
0.919	0.3704
0.9199999999999999	0.369
0.921	0.3675
0.9219999999999999	0.3652
0.923	0.3638
0.9239999999999999	0.3621
0.925	0.3604
0.9259999999999999	0.3592
0.927	0.358
0.9279999999999999	0.356
0.929	0.3549
0.9299999999999999	0.3537
0.931	0.3514
0.9319999999999999	0.3498
0.933	0.3492
0.9339999999999999	0.3473
0.935	0.346
0.9359999999999999	0.3444
0.937	0.343
0.938	0.341
0.9390000000000001	0.3396
0.94	0.3373
0.9410000000000001	0.3356
0.942	0.3338
0.9430000000000001	0.332
0.944	0.3306
0.9450000000000001	0.3289
0.946	0.3279
0.9470000000000001	0.3258
0.948	0.3247
0.9490000000000001	0.3222
0.95	0.3201
0.9510000000000001	0.3191
0.952	0.3167
0.9530000000000001	0.3146
0.954	0.312
0.9550000000000001	0.31
0.956	0.3079
0.9570000000000001	0.3054
0.958	0.3029
0.9590000000000001	0.3003
0.96	0.2975
0.9610000000000001	0.2957
0.962	0.2936
0.9630000000000001	0.2908
0.964	0.2887
0.9650000000000001	0.2862
0.966	0.2841
0.9670000000000001	0.2814
0.968	0.2792
0.9690000000000001	0.2761
0.97	0.2738
0.9710000000000001	0.2715
0.972	0.2693
0.9730000000000001	0.265
0.974	0.2618
0.9750000000000001	0.2593
0.976	0.2555
0.9770000000000001	0.2515
0.978	0.2479
0.9790000000000001	0.2435
0.98	0.2398
0.981	0.2355
0.982	0.2312
0.983	0.2282
0.984	0.2244
0.985	0.2204
0.986	0.214
0.987	0.2102
0.988	0.2037
0.989	0.2003
0.99	0.1933
0.991	0.1883
0.992	0.1838
0.993	0.1772
0.994	0.1663
0.995	0.1577
0.996	0.1497
0.997	0.1375
0.998	0.1238
0.999	0.1025
1.0	0.0308
