x	y
0.5	0.7872
0.501	0.7872
0.502	0.7872
0.503	0.7872
0.504	0.7872
0.505	0.7872
0.506	0.787
0.507	0.7869
0.508	0.7866
0.509	0.7864
0.51	0.7862
0.511	0.7861
0.512	0.786
0.513	0.7858
0.514	0.7857
0.515	0.7856
0.516	0.7856
0.517	0.7853
0.518	0.7852
0.519	0.7851
0.52	0.7848
0.521	0.7847
0.522	0.7845
0.523	0.7842
0.524	0.7842
0.525	0.7839
0.526	0.7836
0.527	0.7834
0.528	0.7834
0.529	0.7833
0.53	0.7829
0.531	0.7828
0.532	0.7826
0.533	0.7825
0.534	0.7822
0.535	0.7819
0.536	0.7819
0.537	0.7817
0.538	0.7814
0.539	0.7811
0.54	0.7809
0.541	0.7805
0.542	0.78
0.543	0.7798
0.544	0.7797
0.545	0.7792
0.546	0.7791
0.547	0.779
0.548	0.779
0.549	0.7786
0.55	0.7784
0.551	0.7784
0.552	0.7782
0.553	0.7781
0.554	0.778
0.555	0.7778
0.556	0.7777
0.557	0.7776
0.558	0.7774
0.559	0.777
0.56	0.777
0.5609999999999999	0.7767
0.562	0.7764
0.563	0.7763
0.5640000000000001	0.7761
0.565	0.776
0.5660000000000001	0.7758
0.567	0.7754
0.5680000000000001	0.7752
0.569	0.775
0.5700000000000001	0.7747
0.571	0.7744
0.5720000000000001	0.7742
0.573	0.7738
0.574	0.7736
0.575	0.7732
0.576	0.773
0.577	0.7726
0.578	0.7725
0.579	0.7724
0.58	0.7722
0.581	0.7721
0.582	0.7718
0.583	0.7714
0.584	0.7712
0.585	0.771
0.586	0.7706
0.587	0.7704
0.588	0.7702
0.589	0.7698
0.59	0.7695
0.591	0.7689
0.592	0.7688
0.593	0.7687
0.594	0.7685
0.595	0.7683
0.596	0.7681
0.597	0.7677
0.598	0.7674
0.599	0.7673
0.6	0.767
0.601	0.7668
0.602	0.7667
0.603	0.7665
0.604	0.7661
0.605	0.7659
0.606	0.7655
0.607	0.7654
0.608	0.7653
0.609	0.7651
0.61	0.7647
0.611	0.7645
0.612	0.7642
0.613	0.764
0.614	0.7636
0.615	0.7634
0.616	0.763
0.617	0.7627
0.618	0.7623
0.619	0.762
0.62	0.7619
0.621	0.7612
0.622	0.7607
0.623	0.7606
0.624	0.7601
0.625	0.7596
0.626	0.7591
0.627	0.7588
0.628	0.7586
0.629	0.7584
0.63	0.758
0.631	0.7578
0.632	0.7576
0.633	0.7574
0.634	0.7573
0.635	0.7569
0.636	0.7565
0.637	0.7564
0.638	0.7562
0.639	0.7557
0.64	0.7556
0.641	0.7552
0.642	0.7549
0.643	0.7546
0.644	0.7544
0.645	0.7542
0.646	0.7541
0.647	0.7538
