x	y
0.5	0.5927
0.501	0.5927
0.502	0.5927
0.503	0.5927
0.504	0.5927
0.505	0.5927
0.506	0.5925
0.507	0.5924
0.508	0.592
0.509	0.592
0.51	0.5918
0.511	0.5914
0.512	0.5913
0.513	0.5913
0.514	0.5911
0.515	0.5908
0.516	0.5906
0.517	0.5906
0.518	0.5903
0.519	0.5901
0.52	0.5899
0.521	0.5895
0.522	0.5894
0.523	0.5892
0.524	0.5889
0.525	0.5887
0.526	0.5886
0.527	0.5883
0.528	0.5883
0.529	0.5881
0.53	0.588
0.531	0.5877
0.532	0.5874
0.533	0.5872
0.534	0.5868
0.535	0.5866
0.536	0.5863
0.537	0.5862
0.538	0.586
0.539	0.5859
0.54	0.5858
0.541	0.5854
0.542	0.5852
0.543	0.5851
0.544	0.5851
0.545	0.5849
0.546	0.5848
0.547	0.5848
0.548	0.5845
0.549	0.5843
0.55	0.5842
0.551	0.5841
0.552	0.5841
0.553	0.5839
0.554	0.5837
0.555	0.5836
0.556	0.5835
0.557	0.5832
0.558	0.583
0.559	0.5828
0.56	0.5822
0.5609999999999999	0.5817
0.562	0.5816
0.563	0.5815
0.5640000000000001	0.5813
0.565	0.5811
0.5660000000000001	0.5811
0.567	0.581
0.5680000000000001	0.5807
0.569	0.5804
0.5700000000000001	0.5803
0.571	0.5802
0.5720000000000001	0.5798
0.573	0.5791
0.574	0.5789
0.575	0.5787
0.576	0.5783
0.577	0.578
0.578	0.5778
0.579	0.5775
0.58	0.5772
0.581	0.5771
0.582	0.5771
0.583	0.5768
0.584	0.5765
0.585	0.5762
0.586	0.5762
0.587	0.576
0.588	0.5758
0.589	0.5753
0.59	0.5749
0.591	0.5747
0.592	0.5744
0.593	0.5742
0.594	0.574
0.595	0.5738
0.596	0.5738
0.597	0.5734
0.598	0.5727
0.599	0.5724
0.6	0.5722
0.601	0.5721
0.602	0.5721
0.603	0.5716
0.604	0.5714
0.605	0.5713
0.606	0.571
0.607	0.571
0.608	0.5707
0.609	0.57
0.61	0.5695
0.611	0.5693
0.612	0.5688
0.613	0.5687
0.614	0.5687
0.615	0.5685
0.616	0.568
0.617	0.5679
0.618	0.5678
0.619	0.5673
0.62	0.567
0.621	0.5668
0.622	0.5661
0.623	0.566
0.624	0.5659
0.625	0.5658
0.626	0.5658
0.627	0.5658
0.628	0.5653
0.629	0.5649
0.63	0.5648
0.631	0.5645
0.632	0.5639
0.633	0.5637
0.634	0.5634
0.635	0.5632
0.636	0.5631
0.637	0.5628
0.638	0.562
0.639	0.562
0.64	0.5619
0.641	0.5618
0.642	0.5616
0.643	0.5615
0.644	0.5613
0.645	0.5612
0.646	0.561
0.647	0.5607
0.648	0.5604
0.649	0.5602
0.65	0.5601
0.651	0.5597
0.652	0.5595
0.653	0.5594
0.654	0.5594
0.655	0.559
0.656	0.559
0.657	0.5587
0.658	0.5583
0.659	0.5581
0.66	0.558
0.661	0.558
0.662	0.5575
0.663	0.5573
0.664	0.5569
0.665	0.5567
0.666	0.5564
0.667	0.5563
0.668	0.5561
0.669	0.5557
0.67	0.5556
0.671	0.5556
0.672	0.5552
0.673	0.5551
0.674	0.5544
0.675	0.5543
