x	y
0.5	0.4357
0.501	0.4357
0.502	0.4357
0.503	0.4357
0.504	0.4357
0.505	0.4357
0.506	0.4353
0.507	0.4352
0.508	0.4349
0.509	0.4343
0.51	0.4337
0.511	0.4332
0.512	0.4329
0.513	0.4326
0.514	0.4324
0.515	0.4322
0.516	0.4316
0.517	0.4312
0.518	0.4312
0.519	0.4305
0.52	0.4303
0.521	0.4301
0.522	0.4298
0.523	0.4296
0.524	0.4293
0.525	0.4291
0.526	0.4287
0.527	0.4285
0.528	0.4281
0.529	0.428
0.53	0.4278
0.531	0.4277
0.532	0.4274
0.533	0.4271
0.534	0.4269
0.535	0.4265
0.536	0.4261
0.537	0.4258
0.538	0.4256
0.539	0.4255
0.54	0.4251
0.541	0.4251
0.542	0.4247
0.543	0.4246
0.544	0.4243
0.545	0.4235
0.546	0.4232
0.547	0.4227
0.548	0.4224
0.549	0.4221
0.55	0.422
0.551	0.4218
0.552	0.4215
0.553	0.4212
0.554	0.4208
0.555	0.4206
0.556	0.4202
0.557	0.42
0.558	0.4198
0.559	0.4193
0.56	0.419
0.5609999999999999	0.4183
0.562	0.418
0.563	0.4176
0.5640000000000001	0.4169
0.565	0.4166
0.5660000000000001	0.4163
0.567	0.4161
0.5680000000000001	0.4157
0.569	0.4154
0.5700000000000001	0.4144
0.571	0.4143
0.5720000000000001	0.4138
0.573	0.4137
0.574	0.4132
0.575	0.4131
0.576	0.4129
0.577	0.4127
0.578	0.4122
0.579	0.4121
0.58	0.4116
0.581	0.4112
0.582	0.4111
0.583	0.4109
0.584	0.4105
0.585	0.4097
0.586	0.4092
0.587	0.4089
0.588	0.4082
0.589	0.4079
0.59	0.4073
0.591	0.4071
0.592	0.407
0.593	0.4067
0.594	0.4065
0.595	0.406
0.596	0.4056
0.597	0.4053
0.598	0.405
0.599	0.4046
0.6	0.4045
0.601	0.4038
0.602	0.4036
0.603	0.4033
0.604	0.4033
0.605	0.4028
0.606	0.4025
0.607	0.4019
0.608	0.4014
0.609	0.4013
0.61	0.4008
0.611	0.4004
0.612	0.4003
0.613	0.3999
0.614	0.3995
0.615	0.3992
0.616	0.3989
0.617	0.3987
0.618	0.3986
0.619	0.3983
0.62	0.3977
0.621	0.3971
0.622	0.3967
0.623	0.3966
0.624	0.3963
0.625	0.3957
0.626	0.3956
0.627	0.3948
0.628	0.3945
0.629	0.3944
0.63	0.394
0.631	0.3936
0.632	0.3932
0.633	0.3928
0.634	0.3927
0.635	0.3926
0.636	0.3922
0.637	0.3919
0.638	0.3916
0.639	0.3913
0.64	0.3913
0.641	0.3906
0.642	0.3903
0.643	0.3898
0.644	0.3895
0.645	0.3888
0.646	0.3884
0.647	0.388
0.648	0.3876
0.649	0.387
0.65	0.3868
0.651	0.3859
0.652	0.3855
0.653	0.3854
0.654	0.3852
0.655	0.3846
0.656	0.3843
0.657	0.384
0.658	0.3836
0.659	0.383
0.66	0.3829
0.661	0.3827
0.662	0.3825
0.663	0.3824
0.664	0.3817
0.665	0.3816
0.666	0.3811
0.667	0.381
0.668	0.3808
0.669	0.3804
0.67	0.38
0.671	0.3797
0.672	0.3791
0.673	0.3785
0.674	0.3784
0.675	0.3779
0.6759999999999999	0.3779
0.677	0.3775
0.6779999999999999	0.3769
0.679	0.3767
0.6799999999999999	0.3766
0.681	0.3762
0.6819999999999999	0.3761
0.683	0.3757
0.6839999999999999	0.3749
0.685	0.3745
0.6859999999999999	0.3741
0.687	0.3735
0.688	0.3731
0.6890000000000001	0.3731
0.69	0.3729
0.6910000000000001	0.3726
0.692	0.3721
0.6930000000000001	0.3718
0.694	0.3714
0.6950000000000001	0.3707
0.696	0.3704
0.6970000000000001	0.3701
0.698	0.3698
0.6990000000000001	0.3696
0.7	0.3691
0.7010000000000001	0.3686
0.702	0.3682
0.7030000000000001	0.3677
0.704	0.3673
0.7050000000000001	0.3669
0.706	0.3665
0.7070000000000001	0.3661
0.708	0.366
0.709	0.3655
0.71	0.3652
0.711	0.3648
0.712	0.3645
0.713	0.3642
0.714	0.3641
0.715	0.3639
0.716	0.3636
0.717	0.3634
0.718	0.3629
0.719	0.3626
0.72	0.3621
0.721	0.3615
0.722	0.3613
0.723	0.361
0.724	0.3606
0.725	0.3598
0.726	0.3596
0.727	0.3591
0.728	0.3584
0.729	0.3581
0.73	0.3577
0.731	0.3576
0.732	0.3571
0.733	0.3565
0.734	0.3561
0.735	0.3557
0.736	0.3555
0.737	0.3554
0.738	0.3551
0.739	0.3545
0.74	0.3543
0.741	0.3539
0.742	0.3538
0.743	0.3534
0.744	0.353
0.745	0.3529
0.746	0.3524
0.747	0.3521
0.748	0.3517
0.749	0.3509
0.75	0.3503
0.751	0.3498
0.752	0.3495
0.753	0.3494
0.754	0.3491
0.755	0.349
0.756	0.3488
0.757	0.3486
0.758	0.3481
0.759	0.3478
0.76	0.3476
0.761	0.3473
0.762	0.3469
0.763	0.3465
0.764	0.3465
0.765	0.3459
0.766	0.3453
0.767	0.3452
0.768	0.3448
0.769	0.3445
0.77	0.3438
0.771	0.3434
0.772	0.3433
0.773	0.3429
0.774	0.3426
0.775	0.3423
0.776	0.342
0.777	0.3417
0.778	0.341
0.779	0.3402
0.78	0.3398
0.781	0.3394
0.782	0.3385
0.783	0.3381
0.784	0.3368
0.785	0.3364
0.786	0.3361
0.787	0.3354
0.788	0.3353
0.7889999999999999	0.3351
0.79	0.3346
0.7909999999999999	0.3339
0.792	0.3332
0.7929999999999999	0.3325
0.794	0.3321
0.7949999999999999	0.3317
0.796	0.3316
0.7969999999999999	0.3311
0.798	0.3304
0.7989999999999999	0.3299
0.8	0.3298
0.8009999999999999	0.3292
0.802	0.3289
0.8029999999999999	0.3282
0.804	0.3278
0.8049999999999999	0.3274
0.806	0.3264
0.8069999999999999	0.3261
0.808	0.3254
0.8089999999999999	0.325
0.81	0.3247
0.8109999999999999	0.3244
0.812	0.3238
0.813	0.3233
0.8140000000000001	0.3228
0.815	0.322
0.8160000000000001	0.3215
0.817	0.321
0.8180000000000001	0.3203
0.819	0.32
0.8200000000000001	0.3198
0.821	0.3197
0.8220000000000001	0.3195
0.823	0.3188
0.8240000000000001	0.3183
0.825	0.3179
0.8260000000000001	0.3174
0.827	0.317
0.8280000000000001	0.3169
0.829	0.3163
0.8300000000000001	0.316
0.831	0.3156
0.8320000000000001	0.3151
0.833	0.3146
0.8340000000000001	0.3139
0.835	0.3133
0.8360000000000001	0.3128
0.837	0.3123
0.8380000000000001	0.3116
0.839	0.3113
0.8400000000000001	0.3106
0.841	0.3102
0.8420000000000001	0.3093
0.843	0.3081
0.8440000000000001	0.3071
0.845	0.3056
0.8460000000000001	0.3056
0.847	0.3056
0.8480000000000001	0.304
0.849	0.304
0.8500000000000001	0.3025
0.851	0.3025
0.852	0.3025
0.853	0.301
0.854	0.301
0.855	0.2992
0.856	0.2992
0.857	0.2976
0.858	0.2976
0.859	0.2959
0.86	0.2959
0.861	0.2959
0.862	0.2948
0.863	0.2948
0.864	0.293
0.865	0.293
0.866	0.2918
0.867	0.2918
0.868	0.2908
0.869	0.2908
0.87	0.2895
0.871	0.2895
0.872	0.2879
0.873	0.2879
0.874	0.2879
0.875	0.2868
0.876	0.2868
0.877	0.286
0.878	0.286
0.879	0.2847
0.88	0.2847
0.881	0.2837
0.882	0.2837
0.883	0.2824
0.884	0.2824
0.885	0.281
0.886	0.281
0.887	0.2797
0.888	0.2797
0.889	0.2787
0.89	0.2767
0.891	0.2767
0.892	0.2754
0.893	0.2754
0.894	0.2737
0.895	0.2737
0.896	0.2723
0.897	0.2723
0.898	0.2715
0.899	0.2715
0.9	0.27
0.901	0.269
0.902	0.269
0.903	0.2684
0.904	0.2684
0.905	0.2678
0.906	0.2678
0.907	0.2666
0.908	0.2652
0.909	0.2652
0.91	0.2645
0.911	0.2645
0.912	0.2636
0.913	0.2627
0.914	0.2627
0.915	0.2614
0.916	0.2601
0.917	0.2601
0.9179999999999999	0.2592
0.919	0.2584
0.9199999999999999	0.2584
0.921	0.2567
0.9219999999999999	0.2551
0.923	0.2551
0.9239999999999999	0.2538
0.925	0.2527
0.9259999999999999	0.2527
0.927	0.2521
0.9279999999999999	0.2513
0.929	0.2513
0.9299999999999999	0.2498
0.931	0.2489
0.9319999999999999	0.2475
0.933	0.2475
0.9339999999999999	0.2465
0.935	0.2447
0.9359999999999999	0.2433
0.937	0.242
0.938	0.242
0.9390000000000001	0.2406
0.94	0.2396
0.9410000000000001	0.2387
0.942	0.2373
