x	y
0.5	0.7713
0.501	0.7713
0.502	0.7713
0.503	0.7713
0.504	0.7713
0.505	0.7713
0.506	0.7712
0.507	0.7711
0.508	0.7709
0.509	0.7709
0.51	0.7706
0.511	0.7706
0.512	0.7703
0.513	0.7699
0.514	0.7698
0.515	0.7697
0.516	0.7695
0.517	0.7695
0.518	0.7692
0.519	0.7687
0.52	0.7687
0.521	0.768
0.522	0.7678
0.523	0.7676
0.524	0.7675
0.525	0.7673
0.526	0.7672
0.527	0.767
0.528	0.7669
0.529	0.7666
0.53	0.7665
0.531	0.7665
0.532	0.7662
0.533	0.7662
0.534	0.7658
0.535	0.7658
0.536	0.7656
0.537	0.7655
0.538	0.7655
0.539	0.7651
0.54	0.7647
0.541	0.7646
0.542	0.7643
0.543	0.764
0.544	0.764
0.545	0.764
0.546	0.7639
0.547	0.7636
0.548	0.7634
0.549	0.763
0.55	0.7627
0.551	0.7626
0.552	0.7624
0.553	0.7623
0.554	0.7618
0.555	0.7615
0.556	0.7611
0.557	0.7606
0.558	0.7605
0.559	0.7605
0.56	0.7603
0.5609999999999999	0.7602
0.562	0.7602
0.563	0.7602
0.5640000000000001	0.76
0.565	0.7596
0.5660000000000001	0.7594
0.567	0.7589
0.5680000000000001	0.7588
0.569	0.7587
0.5700000000000001	0.7587
0.571	0.7582
0.5720000000000001	0.758
0.573	0.7575
0.574	0.7571
0.575	0.7567
0.576	0.7563
0.577	0.7563
0.578	0.756
0.579	0.7559
0.58	0.7555
0.581	0.7552
0.582	0.7549
0.583	0.7547
0.584	0.7544
0.585	0.7542
0.586	0.7541
0.587	0.7538
0.588	0.7536
0.589	0.7533
0.59	0.7533
0.591	0.7528
0.592	0.7526
0.593	0.7519
0.594	0.7517
0.595	0.7514
0.596	0.7513
0.597	0.7512
0.598	0.751
0.599	0.7508
0.6	0.7506
0.601	0.75
0.602	0.7493
0.603	0.7491
0.604	0.7488
0.605	0.7486
0.606	0.7484
0.607	0.7479
0.608	0.7475
0.609	0.7472
0.61	0.7466
0.611	0.7463
0.612	0.7461
0.613	0.7459
0.614	0.7458
0.615	0.7457
0.616	0.7452
0.617	0.745
0.618	0.7447
0.619	0.7444
0.62	0.7443
0.621	0.7441
0.622	0.7439
0.623	0.7439
0.624	0.7437
0.625	0.7434
0.626	0.7432
0.627	0.7432
0.628	0.743
0.629	0.743
0.63	0.7429
0.631	0.7424
0.632	0.7421
0.633	0.7418
0.634	0.7413
0.635	0.7409
0.636	0.7407
0.637	0.7404
0.638	0.7404
0.639	0.7401
0.64	0.7399
0.641	0.7396
0.642	0.7393
0.643	0.739
0.644	0.7387
0.645	0.7381
0.646	0.738
0.647	0.7378
0.648	0.7376
0.649	0.7374
0.65	0.7374
0.651	0.7373
0.652	0.737
0.653	0.7366
0.654	0.7364
0.655	0.7361
0.656	0.7357
0.657	0.7354
0.658	0.7351
0.659	0.7349
0.66	0.7345
0.661	0.7345
0.662	0.734
0.663	0.734
0.664	0.7336
0.665	0.7336
0.666	0.7335
0.667	0.7335
0.668	0.7332
0.669	0.733
0.67	0.733
0.671	0.7328
0.672	0.7321
0.673	0.7321
0.674	0.7316
0.675	0.7311
0.6759999999999999	0.7311
0.677	0.7309
0.6779999999999999	0.7306
0.679	0.7298
0.6799999999999999	0.7298
0.681	0.7291
0.6819999999999999	0.7286
0.683	0.7286
0.6839999999999999	0.7284
0.685	0.7283
0.6859999999999999	0.7283
0.687	0.7273
0.688	0.7268
0.6890000000000001	0.7266
0.69	0.7266
0.6910000000000001	0.7262
0.692	0.726
0.6930000000000001	0.726
0.694	0.7258
0.6950000000000001	0.7255
0.696	0.725
0.6970000000000001	0.725
0.698	0.7247
0.6990000000000001	0.7243
0.7	0.7243
0.7010000000000001	0.7241
0.702	0.7237
0.7030000000000001	0.7234
0.704	0.7234
0.7050000000000001	0.7232
0.706	0.7229
0.7070000000000001	0.7229
0.708	0.7224
0.709	0.7222
0.71	0.7217
0.711	0.7217
0.712	0.7213
0.713	0.7209
0.714	0.7207
0.715	0.7207
0.716	0.7204
0.717	0.7199
0.718	0.7199
0.719	0.7193
0.72	0.7189
0.721	0.7184
0.722	0.7184
0.723	0.7175
0.724	0.7168
0.725	0.7164
0.726	0.7164
0.727	0.7162
0.728	0.7158
0.729	0.7153
0.73	0.7153
0.731	0.7147
0.732	0.7144
0.733	0.7142
0.734	0.7142
0.735	0.7138
0.736	0.7136
0.737	0.7132
0.738	0.7132
0.739	0.7128
0.74	0.7123
0.741	0.712
0.742	0.7117
0.743	0.7117
0.744	0.7113
0.745	0.7106
0.746	0.7103
0.747	0.7103
0.748	0.7099
0.749	0.7098
0.75	0.7092
0.751	0.7086
0.752	0.7086
0.753	0.708
0.754	0.7076
0.755	0.7075
0.756	0.7068
0.757	0.7068
0.758	0.7063
0.759	0.7059
0.76	0.7055
0.761	0.705
0.762	0.705
0.763	0.7048
0.764	0.7042
0.765	0.7039
0.766	0.7033
0.767	0.7033
0.768	0.7026
0.769	0.7023
0.77	0.7019
0.771	0.7015
0.772	0.7015
0.773	0.701
0.774	0.7007
0.775	0.7002
0.776	0.6996
0.777	0.6994
0.778	0.6994
0.779	0.6992
0.78	0.6987
0.781	0.6984
0.782	0.6981
0.783	0.6973
0.784	0.6969
0.785	0.6969
0.786	0.6966
0.787	0.6963
0.788	0.6958
0.7889999999999999	0.6953
0.79	0.6952
0.7909999999999999	0.6949
0.792	0.6949
0.7929999999999999	0.6946
0.794	0.6936
0.7949999999999999	0.6935
0.796	0.6931
0.7969999999999999	0.6928
0.798	0.6924
0.7989999999999999	0.6919
0.8	0.6919
0.8009999999999999	0.6917
0.802	0.6915
0.8029999999999999	0.6912
0.804	0.691
0.8049999999999999	0.6906
0.806	0.6901
0.8069999999999999	0.6901
0.808	0.6896
0.8089999999999999	0.6894
0.81	0.6894
0.8109999999999999	0.6891
0.812	0.6883
0.813	0.6881
0.8140000000000001	0.6876
0.815	0.6873
0.8160000000000001	0.6865
0.817	0.6863
0.8180000000000001	0.6862
0.819	0.6853
0.8200000000000001	0.685
0.821	0.6846
0.8220000000000001	0.6841
0.823	0.6838
0.8240000000000001	0.6836
0.825	0.6832
0.8260000000000001	0.683
0.827	0.683
0.8280000000000001	0.6826
0.829	0.6824
0.8300000000000001	0.682
0.831	0.6815
0.8320000000000001	0.6814
0.833	0.6813
0.8340000000000001	0.6809
0.835	0.6803
0.8360000000000001	0.6799
0.837	0.6797
0.8380000000000001	0.6792
0.839	0.6785
0.8400000000000001	0.6779
0.841	0.6776
0.8420000000000001	0.6771
0.843	0.6763
0.8440000000000001	0.6762
0.845	0.6757
0.8460000000000001	0.6753
0.847	0.675
0.8480000000000001	0.6742
0.849	0.6738
0.8500000000000001	0.6737
0.851	0.6732
0.852	0.6728
0.853	0.6722
0.854	0.6718
0.855	0.6714
0.856	0.6709
0.857	0.6701
0.858	0.6689
0.859	0.6684
0.86	0.6682
0.861	0.668
0.862	0.6678
0.863	0.667
0.864	0.6667
0.865	0.6661
0.866	0.6656
0.867	0.6653
0.868	0.6644
0.869	0.6641
0.87	0.6638
0.871	0.6631
0.872	0.6625
0.873	0.6621
0.874	0.6612
0.875	0.661
0.876	0.6606
0.877	0.6599
0.878	0.6597
0.879	0.6592
0.88	0.6587
0.881	0.6582
0.882	0.6576
0.883	0.6575
0.884	0.6573
0.885	0.6562
0.886	0.6559
0.887	0.6556
0.888	0.6551
0.889	0.6542
0.89	0.6538
0.891	0.6532
0.892	0.6522
0.893	0.6519
0.894	0.6516
0.895	0.6506
0.896	0.6505
0.897	0.6497
0.898	0.6494
0.899	0.6488
0.9	0.648
0.901	0.6477
0.902	0.6471
0.903	0.6466
0.904	0.6461
0.905	0.6451
0.906	0.6448
0.907	0.6437
0.908	0.6432
0.909	0.6422
0.91	0.6418
0.911	0.6409
0.912	0.6404
0.913	0.6388
0.914	0.638
0.915	0.6378
0.916	0.637
0.917	0.6364
0.9179999999999999	0.6349
0.919	0.6339
0.9199999999999999	0.6337
0.921	0.6328
0.9219999999999999	0.6318
0.923	0.6315
0.9239999999999999	0.6305
0.925	0.63
0.9259999999999999	0.6293
0.927	0.6284
0.9279999999999999	0.6272
0.929	0.6265
0.9299999999999999	0.6259
0.931	0.6253
0.9319999999999999	0.6243
0.933	0.624
0.9339999999999999	0.6227
0.935	0.6219
0.9359999999999999	0.6208
0.937	0.62
0.938	0.6183
0.9390000000000001	0.6178
0.94	0.6167
0.9410000000000001	0.6161
0.942	0.6145
0.9430000000000001	0.6137
0.944	0.6133
0.9450000000000001	0.6124
0.946	0.6117
0.9470000000000001	0.6108
0.948	0.61
0.9490000000000001	0.6095
0.95	0.6081
0.9510000000000001	0.6075
0.952	0.6068
0.9530000000000001	0.6052
0.954	0.6044
0.9550000000000001	0.6032
0.956	0.6025
0.9570000000000001	0.6015
0.958	0.6008
0.9590000000000001	0.5995
0.96	0.5975
0.9610000000000001	0.5959
0.962	0.5948
0.9630000000000001	0.5938
0.964	0.5927
0.9650000000000001	0.5912
0.966	0.5896
0.9670000000000001	0.5872
0.968	0.5856
0.9690000000000001	0.584
0.97	0.5821
0.9710000000000001	0.5804
0.972	0.579
0.9730000000000001	0.5776
0.974	0.5763
0.9750000000000001	0.5749
0.976	0.5726
0.9770000000000001	0.5709
0.978	0.569
0.9790000000000001	0.5668
0.98	0.5649
0.981	0.563
0.982	0.5612
0.983	0.5575
0.984	0.5553
0.985	0.553
0.986	0.5505
0.987	0.5468
0.988	0.5438
0.989	0.5403
0.99	0.5354
0.991	0.5301
0.992	0.5249
0.993	0.5197
0.994	0.5116
0.995	0.5049
0.996	0.4983
0.997	0.4875
0.998	0.4741
0.999	0.4499
1.0	0.3333
